"trial","ref_position","var_area","response","correct","rt"
1,"R",13.9601927252952,"L",TRUE,5.09200000762939
2,"R",13.6041721347719,"L",TRUE,3.88800001144409
3,"R",12.1643115009647,"L",TRUE,4.60400009155273
4,"R",13.5618122143205,"L",TRUE,2.51200008392334
5,"L",13.4142547398806,"R",TRUE,2.08299994468689
6,"L",12.3862577236723,"R",TRUE,1.88800001144409
7,"L",11.8105249982327,"R",TRUE,2.5939998626709
8,"R",14.0793501865119,"L",TRUE,1.69300007820129
9,"R",11.8321676750202,"L",TRUE,2.19000005722046
10,"R",9.59959025401622,"L",TRUE,1.70300006866455
11,"R",10.0419168861117,"L",TRUE,6.99399995803833
12,"L",9.25660422886722,"L",FALSE,1.88300013542175
13,"R",8.67496764543466,"R",TRUE,1.99000000953674
14,"R",10.0742012623232,"L",TRUE,3.79099988937378
15,"L",9.02155446703546,"R",TRUE,2.08400011062622
16,"L",9.47587575158104,"R",TRUE,1.19199991226196
17,"R",9.27920276252553,"L",TRUE,1.77700018882751
18,"L",11.6165832425468,"R",TRUE,1.99600005149841
19,"L",14.9598424104042,"R",TRUE,1.49500012397766
20,"L",9.41919840290211,"L",FALSE,2.59200000762939
